split,stem,image_file,label_file,status
train,classes,,classes.txt,missing_image
train,healthy_0001,healthy_0001.jpg,healthy_0001.txt,matched
train,healthy_0002,healthy_0002.jpg,healthy_0002.txt,matched
train,healthy_0003,healthy_0003.jpg,healthy_0003.txt,matched
train,healthy_0004,healthy_0004.jpg,healthy_0004.txt,matched
train,healthy_0005,healthy_0005.jpg,healthy_0005.txt,matched
train,healthy_0006,healthy_0006.jpg,healthy_0006.txt,matched
train,healthy_0007,healthy_0007.jpg,healthy_0007.txt,matched
train,healthy_0008,healthy_0008.jpg,healthy_0008.txt,matched
train,healthy_0009,healthy_0009.jpg,healthy_0009.txt,matched
train,healthy_0010,healthy_0010.jpg,healthy_0010.txt,matched
train,healthy_0011,healthy_0011.jpg,healthy_0011.txt,matched
train,healthy_0012,healthy_0012.jpg,healthy_0012.txt,matched
train,healthy_0013,healthy_0013.jpg,healthy_0013.txt,matched
train,healthy_0014,healthy_0014.jpg,healthy_0014.txt,matched
train,healthy_0015,healthy_0015.jpg,healthy_0015.txt,matched
train,healthy_0016,healthy_0016.jpg,healthy_0016.txt,matched
train,healthy_0017,healthy_0017.jpg,healthy_0017.txt,matched
train,healthy_0018,healthy_0018.jpg,healthy_0018.txt,matched
train,healthy_0019,healthy_0019.jpg,healthy_0019.txt,matched
train,healthy_0020,healthy_0020.jpg,healthy_0020.txt,matched
train,healthy_0021,healthy_0021.jpg,healthy_0021.txt,matched
train,healthy_0022,healthy_0022.jpg,healthy_0022.txt,matched
train,healthy_0023,healthy_0023.jpg,healthy_0023.txt,matched
train,healthy_0024,healthy_0024.jpg,healthy_0024.txt,matched
train,healthy_0025,healthy_0025.jpg,healthy_0025.txt,matched
train,healthy_0026,healthy_0026.jpg,healthy_0026.txt,matched
train,healthy_0027,healthy_0027.jpg,healthy_0027.txt,matched
train,healthy_0028,healthy_0028.jpg,healthy_0028.txt,matched
train,healthy_0029,healthy_0029.jpg,healthy_0029.txt,matched
train,healthy_0030,healthy_0030.jpg,healthy_0030.txt,matched
train,healthy_0031,healthy_0031.jpg,healthy_0031.txt,matched
train,healthy_0032,healthy_0032.jpg,healthy_0032.txt,matched
train,healthy_0033,healthy_0033.jpg,healthy_0033.txt,matched
train,healthy_0034,healthy_0034.jpg,healthy_0034.txt,matched
train,healthy_0035,healthy_0035.jpg,healthy_0035.txt,matched
train,healthy_0036,healthy_0036.jpg,healthy_0036.txt,matched
train,healthy_0037,healthy_0037.jpg,healthy_0037.txt,matched
train,healthy_0038,healthy_0038.jpg,healthy_0038.txt,matched
train,healthy_0039,healthy_0039.jpg,healthy_0039.txt,matched
train,healthy_0040,healthy_0040.jpg,healthy_0040.txt,matched
train,healthy_0041,healthy_0041.jpg,healthy_0041.txt,matched
